"sub","partner","day","meetAgain","meetAgain_9points","ShortTerm","LongTerm","Attractiveness","gender","grooveLevel","gRating","eRating","fRating","gcOUT","gcIN","ccOUT","ccIN"
"M01","F01","D1",1,6,6,5,6,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0204535229863119,0.0168555315989249,0.374873147642956,0.374873147642956
"M01","F02","D1",1,7,8,6,8,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0127455346086531,0.0178696720265217,0.169052484793808,0.180128317205229
"M01","F03","D1",1,6,6,6,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0146608920205784,0.0101360660258796,0.213393918584539,0.193113236024119
"M01","F04","D1",1,7,7,7,7,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0163546304642193,0.0189254168716699,0.231940579562738,0.207948071459831
"M01","F06","D1",0,3,2,1,3,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0102542656635829,0.0287319550908762,0.0312370865382652,-0.0160047893984501
"M01","F07","D1",1,7,6,6,6,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0270792101050441,0.0101802762198187,0.0934121510121109,0.095039952436102
"M01","F08","D1",1,6,6,5,6,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0128271201031942,0.0112064523741475,0.270013289632515,0.270013289632515
"M01","F09","D1",1,6,6,5,6,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.0217644445632907,0.02418631271637,0.330087748390302,0.330087748390302
"M01","F11","D1",0,4,2,1,3,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.00680538043026324,0.0173230168748493,0.187780148486782,0.211546872445266
"M01","F12","D1",1,7,6,6,7,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.0252598458510094,0.0260247738103851,0.226047656530807,0.241306912565177
"M01","F13","D1",1,6,6,6,6,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0103693151581234,0.0283892212981947,0.439878104089128,0.439878104089128
"M01","F14","D1",1,7,7,7,7,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0109690835726308,0.0212012812957498,0.419658594311645,0.42009594985231
"M01","F15","D1",1,6,6,5,6,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0225804828566281,0.0128028428479832,0.414952459199296,0.414952459199296
"M02","F02","D1",1,8,8,7,8,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0186743690695286,0.010881725262804,0.242317092832514,0.23031104707599
"M02","F03","D1",1,8,7,7,7,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0265038954116816,0.0123296720940118,0.330609306606003,0.330609306606003
"M02","F04","D1",1,8,8,7,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0102820571285616,0.0323156542709189,0.157300356356294,0.199877928484493
"M02","F06","D1",1,8,6,7,7,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0101075801720998,0.040951315630263,0.453686929041141,0.470182660953089
"M02","F07","D1",1,8,8,8,8,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0140027794702702,0.02315402881875,0.338639331688815,0.412375156026522
"M02","F08","D1",1,8,7,6,7,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0171003118479227,0.0346790264470904,0.587442024676056,0.582798736516602
"M02","F09","D1",1,8,8,8,8,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0208331629444687,0.0159980700990889,0.348684275068111,0.348684275068111
"M02","F11","D1",1,8,6,7,7,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.00899104592077205,0.00874171744225549,0.160234315700494,0.160234315700494
"M02","F12","D1",1,8,8,8,8,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0312932382873266,0.0187564940068681,0.602399267074316,0.603456563449481
"M02","F13","D1",1,7,8,7,7,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.00739423791205684,0.0105718625050599,0.0505316597955928,0.0505316597955928
"M02","F15","D1",1,7,7,6,7,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0153563060899877,0.0071941614619595,0.319751420623877,0.321669516217231
"M02","F01","D1",1,8,8,8,8,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0173694409254104,0.0116794124723523,0.271253621872429,0.248713836268787
"M03","F03","D1",1,8,9,9,8,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0248750801379223,0.0183681397356761,0.243222087454458,0.243222087454458
"M03","F04","D1",1,8,8,6,7,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0294717728887042,0.00975101029639225,0.140848030360294,0.137180188229695
"M03","F06","D1",1,7,4,2,4,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0191497722914442,0.0149942436669348,0.181794521659767,0.0698525996631248
"M03","F07","D1",1,7,8,7,7,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0148527902470215,0.0083276364014222,-0.00559225406278584,0.0143974679086492
"M03","F08","D1",1,9,8,8,9,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0347110807391315,0.0165611845237517,-0.263688644711891,-0.267472999568169
